,kW,kW,kW,kW,kW,kW,kW
OCCUPANCYTYPE,1-2FAM,1-3FAM,2unit,Comm,Mixed,Multi,Other
ZIP,,,,,,,
2104,19.89,0.0,0.0,0.0,0.0,0.0,0.0
2115,15.440000000000001,0.0,0.0,0.0,0.0,0.0,0.0
2116,4.16,0.0,0.0,0.0,0.0,0.0,0.0
2118,0.0,0.0,0.0,222.48,0.0,0.0,0.0
2119,11.3,13.86,0.0,202.0,17.98,0.0,105.0
2121,35.824999999999996,4.68,0.0,0.0,8.265,0.0,0.0
2122,113.41499999999999,9.945,0.0,54.6,0.0,0.0,0.0
2124,400.57500000000005,13.52,0.0,40.89,0.0,0.0,23.970000000000002
2125,122.44999999999999,5.7,0.0,0.0,0.0,0.0,0.0
2126,866.5400000000003,0.0,0.0,374.22,0.0,0.0,0.0
2127,32.985,0.0,0.0,0.0,0.0,0.0,0.0
2128,47.919999999999995,9.975,0.0,0.0,0.0,0.0,0.0
2129,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2130,169.895,9.4,0.0,62.05,12.719999999999999,0.0,12.75
2131,419.8200000000002,6.035,0.0,0.0,0.0,0.0,0.0
2132,231.446,0.0,0.0,0.0,0.0,0.0,0.0
2134,29.229999999999997,0.0,0.0,24.85,0.0,31.2,0.0
2135,83.86,0.0,8.97,0.0,0.0,0.0,9.739999999999998
2136,680.83,0.0,0.0,0.0,0.0,15.81,0.0
2163,0.0,0.0,0.0,0.0,80.0,0.0,0.0
