ZIP,OCCUPANCYTYPE,kW
2104,1-2FAM,19.89
2115,1-2FAM,15.440000000000001
2116,1-2FAM,4.16
2118,Comm,222.48
2119,1-2FAM,11.3
2119,1-3FAM,13.86
2119,Comm,202.0
2119,Mixed,17.98
2119,Other,105.0
2121,1-2FAM,35.824999999999996
2121,1-3FAM,4.68
2121,Mixed,8.265
2122,1-2FAM,113.41499999999999
2122,1-3FAM,9.945
2122,Comm,54.6
2124,1-2FAM,400.57500000000005
2124,1-3FAM,13.52
2124,Comm,40.89
2124,Other,23.970000000000002
2125,1-2FAM,122.44999999999999
2125,1-3FAM,5.7
2126,1-2FAM,866.5400000000003
2126,Comm,374.22
2127,1-2FAM,32.985
2128,1-2FAM,47.919999999999995
2128,1-3FAM,9.975
2129,1-2FAM,3.0
2130,1-2FAM,169.895
2130,1-3FAM,9.4
2130,Comm,62.05
2130,Mixed,12.719999999999999
2130,Other,12.75
2131,1-2FAM,419.8200000000002
2131,1-3FAM,6.035
2132,1-2FAM,231.446
2134,1-2FAM,29.229999999999997
2134,Comm,24.85
2134,Multi,31.2
2135,1-2FAM,83.86
2135,2unit,8.97
2135,Other,9.739999999999998
2136,1-2FAM,680.83
2136,Multi,15.81
2163,Mixed,80.0
